case,station,model,mode,time,dual_product_satellites,ar_qualified_product_satellites,ar_satellites,ar_components,component_count,maximum_within_component_sd_rank,runtime_integer_valid_satellites_excluding_reference,runtime_satellites,search_common_satellites,search_named_rank
r48u_20260914_DYNG_IF_float_fix1,DYNG,IF,float,2024-07-17T00:25:00,7,7,G06;G11;G12;G19;G24;G25;G32,"{""PRODUCT-GPS-C1"": [""G11""], ""PRODUCT-GPS-C2"": [""G06"", ""G12"", ""G19"", ""G24"", ""G25"", ""G32""]}",2,5,5,G06;G12;G19;G25;G32,0,0
r48u_20260914_DYNG_IF_float_fix1,DYNG,IF,float,2024-07-17T00:25:30,7,1,G11,"{""PRODUCT-GPS-C0"": [""G11""]}",1,0,0,,0,0
r48u_20260914_DYNG_IF_float_fix1,DYNG,IF,float,2024-07-17T00:26:00,7,6,G06;G12;G19;G24;G25;G32,"{""PRODUCT-GPS-C0"": [""G06"", ""G12"", ""G19"", ""G24"", ""G25"", ""G32""]}",1,5,5,G06;G12;G19;G25;G32,0,0
r48u_20260914_DYNG_IF_float_fix1,DYNG,IF,float,2024-07-17T00:26:30,7,7,G06;G11;G12;G19;G24;G25;G32,"{""PRODUCT-GPS-C0"": [""G11""], ""PRODUCT-GPS-C1"": [""G06"", ""G12"", ""G19"", ""G24"", ""G25"", ""G32""]}",2,5,5,G06;G12;G19;G25;G32,0,0
r48u_20260914_DYNG_IF_float_fix1,DYNG,IF,float,2024-07-17T00:27:00,7,7,G06;G11;G12;G19;G24;G25;G32,"{""PRODUCT-GPS-C0"": [""G06"", ""G11"", ""G12"", ""G19"", ""G24"", ""G25"", ""G32""]}",1,6,6,G06;G11;G12;G19;G25;G32,0,0
r48u_20260914_DYNG_IF_float_fix1,DYNG,IF,float,2024-07-17T00:27:30,7,7,G06;G11;G12;G19;G24;G25;G32,"{""PRODUCT-GPS-C0"": [""G06"", ""G11"", ""G12"", ""G19"", ""G24"", ""G25"", ""G32""]}",1,6,6,G06;G11;G12;G19;G25;G32,0,0
r48u_20260914_DYNG_IF_float_fix1,DYNG,IF,float,2024-07-17T00:28:00,7,7,G06;G11;G12;G19;G24;G25;G32,"{""PRODUCT-GPS-C0"": [""G06"", ""G11"", ""G12"", ""G19"", ""G24"", ""G25"", ""G32""]}",1,6,6,G06;G11;G12;G19;G25;G32,0,0
r48u_20260914_DYNG_IF_float_fix1,DYNG,IF,float,2024-07-17T00:28:30,7,7,G06;G11;G12;G19;G24;G25;G32,"{""PRODUCT-GPS-C0"": [""G06"", ""G11"", ""G12"", ""G19"", ""G24"", ""G25"", ""G32""]}",1,6,6,G06;G11;G12;G19;G25;G32,0,0
r48u_20260914_DYNG_IF_float_fix1,DYNG,IF,float,2024-07-17T00:29:00,7,7,G06;G11;G12;G19;G24;G25;G32,"{""PRODUCT-GPS-C0"": [""G06"", ""G11"", ""G12"", ""G19"", ""G24"", ""G25"", ""G32""]}",1,6,6,G06;G11;G12;G19;G25;G32,0,0
r48u_20260914_DYNG_IF_float_fix1,DYNG,IF,float,2024-07-17T00:29:30,7,7,G06;G11;G12;G19;G24;G25;G32,"{""PRODUCT-GPS-C0"": [""G06"", ""G11"", ""G12"", ""G19"", ""G24"", ""G25"", ""G32""]}",1,6,6,G06;G11;G12;G19;G25;G32,0,0
r48u_20260914_DYNG_IF_float_fix1,DYNG,IF,float,2024-07-17T00:30:00,7,7,G06;G11;G12;G19;G24;G25;G32,"{""PRODUCT-GPS-C0"": [""G06"", ""G11"", ""G12"", ""G19"", ""G24"", ""G25"", ""G32""]}",1,6,6,G06;G11;G12;G19;G25;G32,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:03:00,8,0,,{},0,0,0,,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:03:30,7,0,,{},0,0,0,,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:04:00,6,0,,{},0,0,0,,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:04:30,7,0,,{},0,0,0,,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:05:00,7,0,,{},0,0,0,,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:05:30,7,0,,{},0,0,0,,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:06:00,7,0,,{},0,0,0,,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:06:30,6,0,,{},0,0,0,,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:07:00,7,0,,{},0,0,0,,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:07:30,7,0,,{},0,0,0,,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:08:00,6,0,,{},0,0,0,,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:08:30,7,0,,{},0,0,0,,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:09:00,7,0,,{},0,0,0,,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:09:30,7,0,,{},0,0,0,,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:10:00,7,0,,{},0,0,0,,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:10:30,7,6,G06;G12;G19;G24;G25;G32,"{""PRODUCT-GPS-C1"": [""G06"", ""G12"", ""G19"", ""G24"", ""G25"", ""G32""]}",1,5,5,G06;G12;G19;G25;G32,6,5
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:11:00,7,0,,{},0,0,0,,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:11:30,7,1,G11,"{""PRODUCT-GPS-C0"": [""G11""]}",1,0,0,,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:12:00,7,1,G11,"{""PRODUCT-GPS-C0"": [""G11""]}",1,0,0,,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:12:30,6,0,,{},0,0,0,,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:13:00,7,1,G11,"{""PRODUCT-GPS-C0"": [""G11""]}",1,0,0,,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:13:30,7,1,G11,"{""PRODUCT-GPS-C0"": [""G11""]}",1,0,0,,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:14:00,7,1,G11,"{""PRODUCT-GPS-C0"": [""G11""]}",1,0,0,,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:14:30,7,1,G11,"{""PRODUCT-GPS-C0"": [""G11""]}",1,0,0,,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:15:00,7,1,G11,"{""PRODUCT-GPS-C0"": [""G11""]}",1,0,0,,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:15:30,7,1,G11,"{""PRODUCT-GPS-C0"": [""G11""]}",1,0,0,,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:16:00,7,1,G11,"{""PRODUCT-GPS-C0"": [""G11""]}",1,0,0,,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:16:30,7,1,G11,"{""PRODUCT-GPS-C0"": [""G11""]}",1,0,0,,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:17:00,7,7,G06;G11;G12;G19;G24;G25;G32,"{""PRODUCT-GPS-C1"": [""G11""], ""PRODUCT-GPS-C2"": [""G06"", ""G12"", ""G19"", ""G24"", ""G25"", ""G32""]}",2,5,5,G06;G12;G19;G25;G32,6,5
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:17:30,7,7,G06;G11;G12;G19;G24;G25;G32,"{""PRODUCT-GPS-C1"": [""G11""], ""PRODUCT-GPS-C2"": [""G06"", ""G12"", ""G19"", ""G24"", ""G25"", ""G32""]}",2,5,5,G06;G12;G19;G25;G32,6,5
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:18:00,7,7,G06;G11;G12;G19;G24;G25;G32,"{""PRODUCT-GPS-C1"": [""G11""], ""PRODUCT-GPS-C2"": [""G06"", ""G12"", ""G19"", ""G24"", ""G25"", ""G32""]}",2,5,5,G06;G12;G19;G25;G32,6,5
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:18:30,7,7,G06;G11;G12;G19;G24;G25;G32,"{""PRODUCT-GPS-C1"": [""G11""], ""PRODUCT-GPS-C2"": [""G06"", ""G12"", ""G19"", ""G24"", ""G25"", ""G32""]}",2,5,5,G06;G12;G19;G25;G32,6,5
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:19:00,7,7,G06;G11;G12;G19;G24;G25;G32,"{""PRODUCT-GPS-C1"": [""G11""], ""PRODUCT-GPS-C2"": [""G06"", ""G12"", ""G19"", ""G24"", ""G25"", ""G32""]}",2,5,5,G06;G12;G19;G25;G32,6,5
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:19:30,7,7,G06;G11;G12;G19;G24;G25;G32,"{""PRODUCT-GPS-C1"": [""G11""], ""PRODUCT-GPS-C2"": [""G06"", ""G12"", ""G19"", ""G24"", ""G25"", ""G32""]}",2,5,5,G06;G12;G19;G25;G32,6,5
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:20:00,7,7,G06;G11;G12;G19;G24;G25;G32,"{""PRODUCT-GPS-C0"": [""G11""], ""PRODUCT-GPS-C1"": [""G06"", ""G12"", ""G19"", ""G24"", ""G25"", ""G32""]}",2,5,5,G06;G12;G19;G25;G32,6,5
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:20:30,7,7,G06;G11;G12;G19;G24;G25;G32,"{""PRODUCT-GPS-C1"": [""G06"", ""G11"", ""G12"", ""G19"", ""G24"", ""G25"", ""G32""]}",1,6,6,G06;G11;G12;G19;G25;G32,7,6
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:21:00,7,7,G06;G11;G12;G19;G24;G25;G32,"{""PRODUCT-GPS-C0"": [""G11""], ""PRODUCT-GPS-C1"": [""G06"", ""G12"", ""G19"", ""G24"", ""G25"", ""G32""]}",2,5,5,G06;G12;G19;G25;G32,6,5
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:21:30,7,7,G06;G11;G12;G19;G24;G25;G32,"{""PRODUCT-GPS-C1"": [""G06"", ""G11"", ""G12"", ""G19"", ""G24"", ""G25"", ""G32""]}",1,6,6,G06;G11;G12;G19;G25;G32,7,6
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:22:00,7,7,G06;G11;G12;G19;G24;G25;G32,"{""PRODUCT-GPS-C1"": [""G06"", ""G11"", ""G12"", ""G19"", ""G24"", ""G25"", ""G32""]}",1,6,6,G06;G11;G12;G19;G25;G32,7,6
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:22:30,7,7,G06;G11;G12;G19;G24;G25;G32,"{""PRODUCT-GPS-C1"": [""G06"", ""G11"", ""G12"", ""G19"", ""G24"", ""G25"", ""G32""]}",1,6,6,G06;G11;G12;G19;G25;G32,7,6
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:23:00,7,7,G06;G11;G12;G19;G24;G25;G32,"{""PRODUCT-GPS-C1"": [""G06"", ""G11"", ""G12"", ""G19"", ""G24"", ""G25"", ""G32""]}",1,6,6,G06;G11;G12;G19;G25;G32,7,6
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:23:30,7,7,G06;G11;G12;G19;G24;G25;G32,"{""PRODUCT-GPS-C1"": [""G11""], ""PRODUCT-GPS-C2"": [""G06"", ""G12"", ""G19"", ""G24"", ""G25"", ""G32""]}",2,5,5,G06;G12;G19;G25;G32,6,5
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:24:00,7,7,G06;G11;G12;G19;G24;G25;G32,"{""PRODUCT-GPS-C1"": [""G11""], ""PRODUCT-GPS-C2"": [""G06"", ""G12"", ""G19"", ""G24"", ""G25"", ""G32""]}",2,5,5,G06;G12;G19;G25;G32,6,5
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:24:30,7,7,G06;G11;G12;G19;G24;G25;G32,"{""PRODUCT-GPS-C1"": [""G11""], ""PRODUCT-GPS-C2"": [""G06"", ""G12"", ""G19"", ""G24"", ""G25"", ""G32""]}",2,5,5,G06;G12;G19;G25;G32,6,5
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:25:00,7,7,G06;G11;G12;G19;G24;G25;G32,"{""PRODUCT-GPS-C1"": [""G11""], ""PRODUCT-GPS-C2"": [""G06"", ""G12"", ""G19"", ""G24"", ""G25"", ""G32""]}",2,5,5,G06;G12;G19;G25;G32,6,5
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:25:30,7,1,G11,"{""PRODUCT-GPS-C0"": [""G11""]}",1,0,0,,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:26:00,7,6,G06;G12;G19;G24;G25;G32,"{""PRODUCT-GPS-C0"": [""G06"", ""G12"", ""G19"", ""G24"", ""G25"", ""G32""]}",1,5,5,G06;G12;G19;G25;G32,6,5
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:26:30,7,7,G06;G11;G12;G19;G24;G25;G32,"{""PRODUCT-GPS-C0"": [""G11""], ""PRODUCT-GPS-C1"": [""G06"", ""G12"", ""G19"", ""G24"", ""G25"", ""G32""]}",2,5,5,G06;G12;G19;G25;G32,6,5
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:27:00,7,7,G06;G11;G12;G19;G24;G25;G32,"{""PRODUCT-GPS-C0"": [""G06"", ""G11"", ""G12"", ""G19"", ""G24"", ""G25"", ""G32""]}",1,6,6,G06;G11;G12;G19;G25;G32,7,6
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:27:30,7,7,G06;G11;G12;G19;G24;G25;G32,"{""PRODUCT-GPS-C0"": [""G06"", ""G11"", ""G12"", ""G19"", ""G24"", ""G25"", ""G32""]}",1,6,6,G06;G11;G12;G19;G25;G32,7,6
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:28:00,7,7,G06;G11;G12;G19;G24;G25;G32,"{""PRODUCT-GPS-C0"": [""G06"", ""G11"", ""G12"", ""G19"", ""G24"", ""G25"", ""G32""]}",1,6,6,G06;G11;G12;G19;G25;G32,7,6
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:28:30,7,7,G06;G11;G12;G19;G24;G25;G32,"{""PRODUCT-GPS-C0"": [""G06"", ""G11"", ""G12"", ""G19"", ""G24"", ""G25"", ""G32""]}",1,6,6,G06;G11;G12;G19;G25;G32,7,6
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:29:00,7,7,G06;G11;G12;G19;G24;G25;G32,"{""PRODUCT-GPS-C0"": [""G06"", ""G11"", ""G12"", ""G19"", ""G24"", ""G25"", ""G32""]}",1,6,6,G06;G11;G12;G19;G25;G32,7,6
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:29:30,7,7,G06;G11;G12;G19;G24;G25;G32,"{""PRODUCT-GPS-C0"": [""G06"", ""G11"", ""G12"", ""G19"", ""G24"", ""G25"", ""G32""]}",1,6,6,G06;G11;G12;G19;G25;G32,7,6
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:30:00,7,7,G06;G11;G12;G19;G24;G25;G32,"{""PRODUCT-GPS-C0"": [""G06"", ""G11"", ""G12"", ""G19"", ""G24"", ""G25"", ""G32""]}",1,6,6,G06;G11;G12;G19;G25;G32,7,6
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:03:00,8,0,,{},0,0,0,,0,0
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:03:30,7,0,,{},0,0,0,,0,0
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:04:00,6,0,,{},0,0,0,,0,0
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:04:30,7,0,,{},0,0,0,,0,0
