case,station,model,mode,time,receiver,system,stage,reference,satellite,mean,variance,fractional,perr,provisional_selected,selected,feedback
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:17:30,DYNG,GPS,USER_IF_WL_SD,G24,G06,-3.95003,0.296325,0.0499748,0.482882,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:17:30,DYNG,GPS,USER_IF_WL_SD,G24,G12,-28.0059,0.12775,-0.00589385,0.220851,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:17:30,DYNG,GPS,USER_IF_WL_SD,G24,G19,30.9641,0.312407,-0.0358572,0.495822,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:17:30,DYNG,GPS,USER_IF_WL_SD,G24,G25,0.0530359,0.229303,0.0530359,0.412832,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:17:30,DYNG,GPS,USER_IF_WL_SD,G24,G32,-10.8254,0.543003,0.174565,0.622514,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:18:00,DYNG,GPS,USER_IF_WL_SD,G24,G06,-3.93731,0.196015,0.0626853,0.366532,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:18:00,DYNG,GPS,USER_IF_WL_SD,G24,G12,-27.9474,0.0851531,0.0526126,0.100147,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:18:00,DYNG,GPS,USER_IF_WL_SD,G24,G19,31.0113,0.209412,0.0113342,0.383966,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:18:00,DYNG,GPS,USER_IF_WL_SD,G24,G25,0.0930733,0.152411,0.0930733,0.290498,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:18:00,DYNG,GPS,USER_IF_WL_SD,G24,G32,-10.8767,0.360416,0.123288,0.535042,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:18:30,DYNG,GPS,USER_IF_WL_SD,G24,G06,-3.91719,0.146298,0.0828076,0.274972,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:18:30,DYNG,GPS,USER_IF_WL_SD,G24,G12,-27.9341,0.0638617,0.0658937,0.043356,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:18:30,DYNG,GPS,USER_IF_WL_SD,G24,G19,30.9959,0.15794,-0.00414405,0.292968,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:18:30,DYNG,GPS,USER_IF_WL_SD,G24,G25,0.0605618,0.113981,0.0605618,0.187888,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:18:30,DYNG,GPS,USER_IF_WL_SD,G24,G32,-10.8709,0.268998,0.12912,0.464478,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:19:00,DYNG,GPS,USER_IF_WL_SD,G24,G06,-3.91813,0.116524,0.0818729,0.199416,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:19:00,DYNG,GPS,USER_IF_WL_SD,G24,G12,-27.9769,0.0510904,0.0231206,0.015146,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:19:00,DYNG,GPS,USER_IF_WL_SD,G24,G19,30.9185,0.127072,-0.0815304,0.227848,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:19:00,DYNG,GPS,USER_IF_WL_SD,G24,G25,-0.0138303,0.0909306,-0.0138303,0.113745,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:19:00,DYNG,GPS,USER_IF_WL_SD,G24,G32,-10.9494,0.214242,0.0505769,0.392604,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:19:30,DYNG,GPS,USER_IF_WL_SD,G24,G06,-3.88556,0.0969112,0.114438,0.151762,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:19:30,DYNG,GPS,USER_IF_WL_SD,G24,G12,-27.9915,0.042578,0.00845755,0.00563279,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:19:30,DYNG,GPS,USER_IF_WL_SD,G24,G19,30.9102,0.106503,-0.0898075,0.172681,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:19:30,DYNG,GPS,USER_IF_WL_SD,G24,G25,-0.0253077,0.0755686,-0.0253077,0.0690676,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:19:30,DYNG,GPS,USER_IF_WL_SD,G24,G32,-11.0266,0.177783,-0.0265639,0.332804,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:20:00,DYNG,GPS,USER_IF_WL_SD,G24,G06,-3.90408,0.0832283,0.0959179,0.104062,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:20:00,DYNG,GPS,USER_IF_WL_SD,G24,G12,-27.9852,0.0366016,0.0148345,0.00220075,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:20:00,DYNG,GPS,USER_IF_WL_SD,G24,G19,30.8933,0.0920576,-0.106689,0.134371,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:20:00,DYNG,GPS,USER_IF_WL_SD,G24,G25,-0.0207941,0.0647469,-0.0207941,0.040887,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:20:00,DYNG,GPS,USER_IF_WL_SD,G24,G32,-11.0882,0.151976,-0.0881616,0.288579,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:20:30,DYNG,GPS,USER_IF_WL_SD,G24,G06,-3.90174,0.0726522,0.0982586,0.0734564,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:20:30,DYNG,GPS,USER_IF_WL_SD,G24,G11,-50.1404,0.523481,-0.140429,0.613762,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:20:30,DYNG,GPS,USER_IF_WL_SD,G24,G12,-27.9724,0.0320188,0.0276409,0.000889138,1,1,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:20:30,DYNG,GPS,USER_IF_WL_SD,G24,G19,30.9324,0.0809953,-0.0675648,0.0904001,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:20:30,DYNG,GPS,USER_IF_WL_SD,G24,G25,0.009681,0.0564859,0.009681,0.023452,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:20:30,DYNG,GPS,USER_IF_WL_SD,G24,G32,-11.0833,0.132429,-0.0833004,0.24195,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:20:30,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,G24,G12,353.373,2.70866,0.372557,0.830771,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:21:00,DYNG,GPS,USER_IF_WL_SD,G24,G06,-3.90948,0.0646626,0.0905223,0.0499348,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:21:00,DYNG,GPS,USER_IF_WL_SD,G24,G12,-27.9673,0.028515,0.0327373,0.000364092,1,1,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:21:00,DYNG,GPS,USER_IF_WL_SD,G24,G19,30.9267,0.0725365,-0.0733384,0.0671904,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:21:00,DYNG,GPS,USER_IF_WL_SD,G24,G25,0.0467192,0.0501416,0.0467192,0.0149508,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:21:00,DYNG,GPS,USER_IF_WL_SD,G24,G32,-11.0736,0.11735,-0.0735536,0.199888,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:21:00,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,G24,G12,353.36,2.62663,0.360357,0.828073,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:21:30,DYNG,GPS,USER_IF_WL_SD,G24,G06,-3.91503,0.0580888,0.0849721,0.0334382,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:21:30,DYNG,GPS,USER_IF_WL_SD,G24,G11,-50.3035,0.2623,-0.303545,0.495494,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:21:30,DYNG,GPS,USER_IF_WL_SD,G24,G12,-27.9674,0.0256565,0.0326239,0.000141768,1,1,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:21:30,DYNG,GPS,USER_IF_WL_SD,G24,G19,30.9592,0.0656439,-0.0407755,0.0444556,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:21:30,DYNG,GPS,USER_IF_WL_SD,G24,G25,0.0441505,0.0449942,0.0441505,0.00860038,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:21:30,DYNG,GPS,USER_IF_WL_SD,G24,G32,-11.0542,0.105191,-0.0542265,0.161145,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:21:30,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,G24,G12,353.34,2.54938,0.340093,0.825312,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:22:00,DYNG,GPS,USER_IF_WL_SD,G24,G06,-3.94378,0.0527274,0.0562203,0.0196011,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:22:00,DYNG,GPS,USER_IF_WL_SD,G24,G11,-50.284,0.17573,-0.283988,0.399764,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:22:00,DYNG,GPS,USER_IF_WL_SD,G24,G12,-27.9703,0.0233199,0.0297353,5.34597e-05,1,1,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:22:00,DYNG,GPS,USER_IF_WL_SD,G24,G19,30.9779,0.0600124,-0.0221064,0.0305967,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:22:00,DYNG,GPS,USER_IF_WL_SD,G24,G25,0.0545488,0.0407864,0.0545488,0.00533737,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:22:00,DYNG,GPS,USER_IF_WL_SD,G24,G32,-11.0398,0.0952549,-0.0398195,0.12906,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:22:00,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,G24,G12,353.351,2.47658,0.35107,0.822959,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:22:30,DYNG,GPS,USER_IF_WL_SD,G24,G06,-3.95951,0.0482715,0.0404872,0.0121235,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:22:30,DYNG,GPS,USER_IF_WL_SD,G24,G11,-50.1982,0.132319,-0.198241,0.282462,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:22:30,DYNG,GPS,USER_IF_WL_SD,G24,G12,-27.9714,0.0213742,0.0285686,2.05065e-05,1,1,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:22:30,DYNG,GPS,USER_IF_WL_SD,G24,G19,30.9661,0.0553257,-0.0338511,0.0223251,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:22:30,DYNG,GPS,USER_IF_WL_SD,G24,G25,0.0466599,0.0372828,0.0466599,0.00293484,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:22:30,DYNG,GPS,USER_IF_WL_SD,G24,G32,-11.0568,0.0869831,-0.0568279,0.106373,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:22:30,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,G24,G12,353.35,2.40786,0.350239,0.820504,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:23:00,DYNG,GPS,USER_IF_WL_SD,G24,G06,-3.95761,0.04451,0.0423894,0.00804814,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:23:00,DYNG,GPS,USER_IF_WL_SD,G24,G11,-50.1492,0.106165,-0.14915,0.192872,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:23:00,DYNG,GPS,USER_IF_WL_SD,G24,G12,-27.9825,0.0197291,0.0174796,6.9038e-06,1,1,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:23:00,DYNG,GPS,USER_IF_WL_SD,G24,G19,30.9406,0.0513652,-0.0594447,0.0177209,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:23:00,DYNG,GPS,USER_IF_WL_SD,G24,G25,0.0529196,0.0343203,0.0529196,0.00179769,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:23:00,DYNG,GPS,USER_IF_WL_SD,G24,G32,-11.0497,0.079991,-0.0496949,0.084353,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:23:00,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,G24,G12,353.429,2.3429,0.429166,0.819287,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:23:30,DYNG,GPS,USER_IF_WL_SD,G24,G06,-3.95818,0.0413352,0.0418185,0.00531368,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:23:30,DYNG,GPS,USER_IF_WL_SD,G24,G12,-27.9871,0.0183409,0.0128938,2.55604e-06,1,1,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:23:30,DYNG,GPS,USER_IF_WL_SD,G24,G19,30.8998,0.0480097,-0.100156,0.0171719,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:23:30,DYNG,GPS,USER_IF_WL_SD,G24,G25,0.0456399,0.0318102,0.0456399,0.00097891,1,1,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:23:30,DYNG,GPS,USER_IF_WL_SD,G24,G32,-11.0355,0.0740398,-0.0354649,0.0656838,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:23:30,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,G24,G12,353.446,2.25186,0.445975,0.816118,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:23:30,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,G24,G25,93.4317,12.3733,0.431704,0.915305,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:24:00,DYNG,GPS,USER_IF_WL_SD,G24,G06,-3.95284,0.0385826,0.0471611,0.00364668,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:24:00,DYNG,GPS,USER_IF_WL_SD,G24,G12,-27.985,0.0171355,0.0150089,1.01215e-06,1,1,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:24:00,DYNG,GPS,USER_IF_WL_SD,G24,G19,30.8705,0.0450998,-0.129536,0.0170883,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:24:00,DYNG,GPS,USER_IF_WL_SD,G24,G25,0.0426702,0.0296323,0.0426702,0.000550513,1,1,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:24:00,DYNG,GPS,USER_IF_WL_SD,G24,G32,-11.0199,0.0688817,-0.0199295,0.0508921,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:24:00,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,G24,G12,353.514,2.1928,-0.48644,0.814569,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:24:00,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,G24,G25,93.6712,12.1119,-0.328792,0.914534,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:24:30,DYNG,GPS,USER_IF_WL_SD,G24,G06,-3.94672,0.0361734,0.0532828,0.00255216,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:24:30,DYNG,GPS,USER_IF_WL_SD,G24,G12,-27.9752,0.0160792,0.024804,4.64183e-07,1,1,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:24:30,DYNG,GPS,USER_IF_WL_SD,G24,G19,30.8533,0.0425536,-0.146687,0.0159841,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:24:30,DYNG,GPS,USER_IF_WL_SD,G24,G25,0.0520207,0.0277249,0.0520207,0.000357328,1,1,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:24:30,DYNG,GPS,USER_IF_WL_SD,G24,G32,-11.0199,0.0643691,-0.0199351,0.0399731,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:24:30,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,G24,G12,353.498,2.13679,0.497748,0.812532,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:24:30,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,G24,G25,93.6965,11.8631,-0.303524,0.913847,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:25:00,DYNG,GPS,USER_IF_WL_SD,G24,G06,-3.95502,0.0340475,0.0449792,0.00158494,1,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:25:00,DYNG,GPS,USER_IF_WL_SD,G24,G12,-27.97,0.0151458,0.0299619,2.07623e-07,1,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:25:00,DYNG,GPS,USER_IF_WL_SD,G24,G19,30.8272,0.0403074,-0.172813,0.0172084,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:25:00,DYNG,GPS,USER_IF_WL_SD,G24,G25,0.0551579,0.0260407,0.0551579,0.000218671,1,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:25:00,DYNG,GPS,USER_IF_WL_SD,G24,G32,-11.02,0.0603883,-0.0200124,0.0312781,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:25:00,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,G24,G12,353.413,2.08362,0.413469,0.808539,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:25:00,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,G24,G25,93.5397,11.6258,-0.460342,0.913358,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:26:00,DYNG,GPS,USER_IF_WL_SD,G24,G06,-3.954,0.0321346,0.0460035,0.00105861,1,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:26:00,DYNG,GPS,USER_IF_WL_SD,G24,G12,-27.9789,0.014304,0.0211423,6.60311e-08,1,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:26:00,DYNG,GPS,USER_IF_WL_SD,G24,G19,30.8307,0.038319,-0.169347,0.0133538,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:26:00,DYNG,GPS,USER_IF_WL_SD,G24,G25,0.0500618,0.0245208,0.0500618,0.000117077,1,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:26:00,DYNG,GPS,USER_IF_WL_SD,G24,G32,-11.0354,0.0568109,-0.0353717,0.0250938,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:26:00,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,G24,G12,353.375,1.98886,0.37522,0.803479,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:26:00,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,G24,G25,93.426,11.2003,0.426039,0.912076,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:26:30,DYNG,GPS,USER_IF_WL_SD,G24,G06,-3.95775,0.0304622,0.0422454,0.000681561,1,1,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:26:30,DYNG,GPS,USER_IF_WL_SD,G24,G12,-27.9809,0.0135621,0.0190502,2.48138e-08,1,1,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:26:30,DYNG,GPS,USER_IF_WL_SD,G24,G19,30.8238,0.0365634,-0.176241,0.0118989,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:26:30,DYNG,GPS,USER_IF_WL_SD,G24,G25,0.0340348,0.0231814,0.0340348,5.31083e-05,1,1,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:26:30,DYNG,GPS,USER_IF_WL_SD,G24,G32,-11.0453,0.0536523,-0.0452669,0.0202325,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:26:30,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,G24,G06,125.46,9.01377,0.460496,0.90412,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:26:30,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,G24,G12,353.362,1.94234,0.361794,0.800971,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:26:30,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,G24,G25,93.4907,10.989,0.49067,0.911522,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:27:00,DYNG,GPS,USER_IF_WL_SD,G24,G06,-3.96594,0.0289234,0.0340579,0.000415244,1,1,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:27:00,DYNG,GPS,USER_IF_WL_SD,G24,G11,-59.3216,0.461881,-0.32162,0.607523,0,0,0
