case,station,model,mode,time,receiver,system,stage,candidates,provisional_selected,selected,joint_nis,joint_threshold,joint_rank,maximum_perr,reliability_gate,feedback,passed
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:26:00,DYNG,GPS,USER_IF_WL_SD,5,3,0,0.137005,30.6648,3,0.00105861,0,0,False
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:26:00,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,2,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:26:30,DYNG,GPS,USER_IF_WL_SD,5,3,3,0.0893439,30.6648,3,0.000681561,1,0,True
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:26:30,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,3,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:27:00,DYNG,GPS,USER_IF_WL_SD,6,3,3,0.0542351,30.6648,3,0.000415244,1,0,True
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:27:00,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,3,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:27:30,DYNG,GPS,USER_IF_WL_SD,6,3,3,0.0862335,30.6648,3,0.000313754,1,0,True
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:27:30,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,3,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:28:00,DYNG,GPS,USER_IF_WL_SD,6,3,3,0.114906,30.6648,3,0.000225089,1,0,True
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:28:00,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,3,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:28:30,DYNG,GPS,USER_IF_WL_SD,6,3,3,0.117504,30.6648,3,0.000139835,1,0,True
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:28:30,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,3,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:29:00,DYNG,GPS,USER_IF_WL_SD,6,3,3,0.0982027,30.6648,3,9.00117e-05,1,0,True
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:29:00,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,3,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:29:30,DYNG,GPS,USER_IF_WL_SD,6,3,3,0.12207,30.6648,3,6.74712e-05,1,0,True
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:29:30,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,3,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:30:00,DYNG,GPS,USER_IF_WL_SD,6,3,3,0.158057,30.6648,3,5.22816e-05,1,0,True
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:30:00,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,3,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:10:30,DYNG,GPS,USER_IF_WL_SD,5,0,0,nan,nan,0,0,0,1,False
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:17:00,DYNG,GPS,USER_IF_WL_SD,5,0,0,nan,nan,0,0,0,1,False
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:17:30,DYNG,GPS,USER_IF_WL_SD,5,0,0,nan,nan,0,0,0,1,False
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:18:00,DYNG,GPS,USER_IF_WL_SD,5,0,0,nan,nan,0,0,0,1,False
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:18:30,DYNG,GPS,USER_IF_WL_SD,5,0,0,nan,nan,0,0,0,1,False
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:19:00,DYNG,GPS,USER_IF_WL_SD,5,0,0,nan,nan,0,0,0,1,False
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:19:30,DYNG,GPS,USER_IF_WL_SD,5,0,0,nan,nan,0,0,0,1,False
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:20:00,DYNG,GPS,USER_IF_WL_SD,5,0,0,nan,nan,0,0,0,1,False
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:20:30,DYNG,GPS,USER_IF_WL_SD,6,1,1,0.0238616,23.9281,1,0.000889138,1,1,True
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:20:30,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,1,0,0,nan,nan,0,0,0,1,False
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:21:00,DYNG,GPS,USER_IF_WL_SD,5,1,1,0.0375849,23.9281,1,0.000364092,1,1,True
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:21:00,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,1,0,0,nan,nan,0,0,0,1,False
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:21:30,DYNG,GPS,USER_IF_WL_SD,6,1,1,0.0414835,23.9281,1,0.000141768,1,1,True
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:21:30,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,1,0,0,nan,nan,0,0,0,1,False
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:22:00,DYNG,GPS,USER_IF_WL_SD,6,1,1,0.0379156,23.9281,1,5.34597e-05,1,1,True
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:22:00,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,1,0,0,nan,nan,0,0,0,1,False
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:22:30,DYNG,GPS,USER_IF_WL_SD,6,1,1,0.0381846,23.9281,1,2.05065e-05,1,1,True
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:22:30,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,1,0,0,nan,nan,0,0,0,1,False
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:23:00,DYNG,GPS,USER_IF_WL_SD,6,1,1,0.0154866,23.9281,1,6.9038e-06,1,1,True
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:23:00,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,1,0,0,nan,nan,0,0,0,1,False
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:23:30,DYNG,GPS,USER_IF_WL_SD,5,2,2,0.0655028,27.631,2,0.00097891,1,1,True
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:23:30,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,2,0,0,nan,nan,0,0,0,1,False
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:24:00,DYNG,GPS,USER_IF_WL_SD,5,2,2,0.0622386,27.631,2,0.000550513,1,1,True
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:24:00,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,2,0,0,nan,nan,0,0,0,1,False
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:24:30,DYNG,GPS,USER_IF_WL_SD,5,2,2,0.105696,27.631,2,0.000357328,1,1,True
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:24:30,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,2,0,0,nan,nan,0,0,0,1,False
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:25:00,DYNG,GPS,USER_IF_WL_SD,5,3,0,0.15292,30.6648,3,0.00158494,0,1,False
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:25:00,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,2,0,0,nan,nan,0,0,0,1,False
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:26:00,DYNG,GPS,USER_IF_WL_SD,5,3,0,0.137005,30.6648,3,0.00105861,0,1,False
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:26:00,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,2,0,0,nan,nan,0,0,0,1,False
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:26:30,DYNG,GPS,USER_IF_WL_SD,5,3,3,0.0893439,30.6648,3,0.000681561,1,1,True
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:26:30,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,3,0,0,nan,nan,0,0,0,1,False
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:27:00,DYNG,GPS,USER_IF_WL_SD,6,3,3,0.0542351,30.6648,3,0.000415244,1,1,True
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:27:00,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,3,0,0,nan,nan,0,0,0,1,False
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:27:30,DYNG,GPS,USER_IF_WL_SD,6,3,3,0.0862335,30.6648,3,0.000313754,1,1,True
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:27:30,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,3,0,0,nan,nan,0,0,0,1,False
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:28:00,DYNG,GPS,USER_IF_WL_SD,6,3,3,0.114906,30.6648,3,0.000225089,1,1,True
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:28:00,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,3,0,0,nan,nan,0,0,0,1,False
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:28:30,DYNG,GPS,USER_IF_WL_SD,6,3,3,0.117504,30.6648,3,0.000139835,1,1,True
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:28:30,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,3,0,0,nan,nan,0,0,0,1,False
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:29:00,DYNG,GPS,USER_IF_WL_SD,6,3,3,0.0982027,30.6648,3,9.00117e-05,1,1,True
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:29:00,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,3,0,0,nan,nan,0,0,0,1,False
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:29:30,DYNG,GPS,USER_IF_WL_SD,6,3,3,0.12207,30.6648,3,6.74712e-05,1,1,True
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:29:30,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,3,0,0,nan,nan,0,0,0,1,False
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:30:00,DYNG,GPS,USER_IF_WL_SD,6,3,3,0.158057,30.6648,3,5.22816e-05,1,1,True
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,2024-07-17T00:30:00,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,3,0,0,nan,nan,0,0,0,1,False
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:10:30,DYNG,GPS,USER_IF_WL_SD,5,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:17:00,DYNG,GPS,USER_IF_WL_SD,5,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:17:30,DYNG,GPS,USER_IF_WL_SD,5,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:18:00,DYNG,GPS,USER_IF_WL_SD,5,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:18:30,DYNG,GPS,USER_IF_WL_SD,5,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:19:00,DYNG,GPS,USER_IF_WL_SD,5,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:19:30,DYNG,GPS,USER_IF_WL_SD,5,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:20:00,DYNG,GPS,USER_IF_WL_SD,5,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:20:30,DYNG,GPS,USER_IF_WL_SD,6,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:21:00,DYNG,GPS,USER_IF_WL_SD,5,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:21:30,DYNG,GPS,USER_IF_WL_SD,6,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:22:00,DYNG,GPS,USER_IF_WL_SD,6,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:22:30,DYNG,GPS,USER_IF_WL_SD,6,1,1,0.0381846,23.9281,1,2.05065e-05,1,0,True
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:22:30,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,1,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:23:00,DYNG,GPS,USER_IF_WL_SD,6,1,1,0.0154866,23.9281,1,6.9038e-06,1,0,True
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:23:00,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,1,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:23:30,DYNG,GPS,USER_IF_WL_SD,5,1,1,0.00906442,23.9281,1,2.55604e-06,1,0,True
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:23:30,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,1,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:24:00,DYNG,GPS,USER_IF_WL_SD,5,1,1,0.0131462,23.9281,1,1.01215e-06,1,0,True
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:24:00,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,1,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:24:30,DYNG,GPS,USER_IF_WL_SD,5,1,1,0.0382632,23.9281,1,4.64183e-07,1,0,True
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:24:30,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,1,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:25:00,DYNG,GPS,USER_IF_WL_SD,5,2,2,0.133639,27.631,2,0.000218671,1,0,True
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:25:00,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,2,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:26:00,DYNG,GPS,USER_IF_WL_SD,5,2,2,0.106613,27.631,2,0.000117077,1,0,True
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:26:00,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,2,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:26:30,DYNG,GPS,USER_IF_WL_SD,5,2,2,0.0578989,27.631,2,5.31083e-05,1,0,True
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:26:30,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,2,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:27:00,DYNG,GPS,USER_IF_WL_SD,6,2,2,0.0319937,27.631,2,2.56303e-05,1,0,True
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:27:00,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,2,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:27:30,DYNG,GPS,USER_IF_WL_SD,6,2,2,0.0300975,27.631,2,1.41734e-05,1,0,True
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:27:30,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,2,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:28:00,DYNG,GPS,USER_IF_WL_SD,6,2,2,0.0424082,27.631,2,8.29221e-06,1,0,True
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:28:00,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,2,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:28:30,DYNG,GPS,USER_IF_WL_SD,6,3,3,0.117504,30.6648,3,0.000139835,1,0,True
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:28:30,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,3,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:29:00,DYNG,GPS,USER_IF_WL_SD,6,3,3,0.0982027,30.6648,3,9.00117e-05,1,0,True
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:29:00,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,3,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:29:30,DYNG,GPS,USER_IF_WL_SD,6,3,3,0.12207,30.6648,3,6.74712e-05,1,0,True
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:29:30,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,3,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,2024-07-17T00:30:00,DYNG,GPS,USER_IF_WL_SD,6,3,3,0.158057,30.6648,3,5.22816e-05,1,0,True
